unifact_id,uni_name,country_name,year,teaching,research,citations,industry_income,international_outlook
323,Johannes Gutenberg University of Mainz,Germany,2018,36.4,23.6,79.8,57.5,55.2
324,Justus Liebig University Giessen,Germany,2018,32.8,29.4,61.7,40.2,48
325,Karlsruhe Institute of Technology,Germany,2018,44.6,47.7,75.7,97.9,62.9
326,Leibniz University of Hanover,Germany,2018,37.3,36.9,47.1,56.3,43.7
327,LMU Munich,Germany,2018,65.4,72.3,91.3,100,66.3
328,Otto von Guericke University of Magdeburg,Germany,2018,23.4,12.8,47.3,41.6,52.9
329,Ruhr University Bochum,Germany,2018,36.6,42.9,62.3,73.2,52.3
330,RWTH Aachen University,Germany,2018,53.4,62.4,72.8,99.7,56.4
331,Technical University of Berlin,Germany,2018,49,58,74.2,97.8,62.4
332,Technical University of Darmstadt,Germany,2018,39.2,43.7,57.2,95.9,54.3
333,Technical University of Munich,Germany,2018,60.3,71.2,88.4,100,66.8
334,TU Dortmund University,Germany,2018,34.9,31.1,64,45.5,42
335,TU Dresden,Germany,2018,42.8,46.9,74.2,95,52.6
336,Ulm University,Germany,2018,37.1,37.4,90,77.3,56.5
337,University of Bayreuth,Germany,2018,34.4,34.1,67.8,62.7,54.7
338,University of Bonn,Germany,2018,47.3,41.6,91.3,83.5,58.4
339,University of Bremen,Germany,2018,36.4,36.5,63.2,45.7,52.1
340,University of Cologne,Germany,2018,39.8,42.7,84.8,76.8,57.1
341,University of Duisburg Essen,Germany,2018,32.8,29.9,88.8,73.8,52.7
342,University of Erlangen Nuremberg,Germany,2018,39.8,44,77.6,95.9,53
343,University of Freiburg,Germany,2018,47.1,54.3,83.1,100,67.2
344,University of Gottingen,Germany,2018,47.1,50.3,82.4,33.7,58.6
345,University of Greifswald,Germany,2018,29.1,20.2,63.6,36.7,46
346,University of Hamburg,Germany,2018,43.5,42,65,67.7,58
347,University of Hohenheim,Germany,2018,34.9,28.8,70,50.3,51.7
348,University of Kaiserslautern,Germany,2018,34.1,22.8,48.7,73.2,48.5
349,University of Kiel,Germany,2018,31.5,28.1,94.4,9.1,52.4
350,University of Konstanz,Germany,2018,31.5,28.1,94.4,9.1,52.4
351,University of Mannheim,Germany,2018,41.8,53,80.5,57.8,55.9
